Date,Price,Open,High,Low,Vol.,Change %
08/15/2023,6335.91,6337.67,6370.43,6297.17,128.56K,0.11%
08/14/2023,6329.19,6404.27,6404.27,6306.81,187.27K,-1.20%
08/11/2023,6405.91,6457.05,6458.77,6405.91,100.78K,-0.68%
08/10/2023,6449.66,6508.78,6508.78,6446.80,112.31K,-1.24%
08/09/2023,6530.45,6490.09,6530.45,6478.74,94.69K,0.89%
08/08/2023,6472.97,6517.13,6541.64,6465.98,142.77K,-0.53%
08/07/2023,6507.78,6498.59,6522.59,6485.03,77.72K,0.88%
08/04/2023,6450.84,6580.49,6590.65,6450.84,194.16K,-1.91%
08/03/2023,6576.76,6496.86,6576.76,6496.86,75.56K,1.44%
08/02/2023,6483.28,6607.05,6616.26,6475.80,92.94K,-1.68%
08/01/2023,6593.80,6627.56,6641.92,6593.80,86.22K,0.04%
07/31/2023,6591.47,6632.60,6678.29,6591.47,79.46K,-0.51%
07/28/2023,6625.26,6664.62,6671.61,6625.26,65.74K,-0.79%
07/27/2023,6677.92,6660.12,6677.92,6627.59,78.36K,-0.02%
07/26/2023,6679.13,6683.22,6683.22,6622.61,79.48K,0.27%
07/25/2023,6661.11,6650.62,6698.41,6650.62,103.89K,0.45%
07/24/2023,6631.25,6653.55,6677.48,6631.25,88.49K,-0.25%
07/21/2023,6647.56,6620.03,6689.04,6620.03,88.16K,0.52%
07/20/2023,6613.50,6547.80,6645.36,6547.80,103.49K,1.09%
07/19/2023,6541.91,6539.23,6564.17,6530.33,62.08K,0.20%
07/18/2023,6528.80,6560.37,6610.57,6528.80,54.33K,-0.34%
07/17/2023,6550.76,6604.91,6610.89,6550.76,63.66K,-1.12%
07/14/2023,6624.79,6581.40,6624.79,6526.44,129.16K,0.70%
07/13/2023,6578.49,6475.66,6579.04,6475.66,92.59K,1.73%
07/12/2023,6466.85,6424.19,6466.85,6421.05,113.35K,1.07%
07/11/2023,6398.64,6387.98,6430.28,6385.44,79.00K,0.30%
07/10/2023,6379.72,6386.23,6410.50,6375.26,67.27K,0.01%
07/07/2023,6379.03,6459.26,6459.26,6379.03,65.04K,-1.47%
07/06/2023,6474.26,6491.53,6496.15,6436.54,117.81K,-0.59%
07/05/2023,6512.39,6509.20,6512.39,6446.79,131.00K,-0.03%
07/04/2023,6514.47,6501.65,6519.07,6494.51,37.08K,0.10%
07/03/2023,6508.21,6459.53,6508.21,6459.53,42.91K,0.62%
06/30/2023,6468.07,6525.39,6525.39,6468.07,118.72K,-0.67%
06/29/2023,6511.49,6507.42,6550.25,6507.42,83.19K,0.13%
06/27/2023,6502.85,6519.79,6547.33,6491.81,94.60K,-0.31%
06/26/2023,6523.09,6422.57,6545.45,6419.93,138.74K,2.03%
06/23/2023,6393.55,6404.38,6421.78,6392.63,67.44K,-0.18%
06/22/2023,6404.91,6423.06,6423.06,6374.07,130.68K,-0.30%
06/21/2023,6424.21,6420.80,6437.40,6406.88,126.32K,-0.38%
06/20/2023,6448.90,6434.03,6448.90,6410.33,116.35K,-0.02%
06/19/2023,6450.34,6491.85,6491.85,6422.11,95.97K,-0.89%
06/16/2023,6508.34,6450.30,6508.37,6413.57,216.44K,0.73%
06/15/2023,6461.42,6434.94,6461.42,6386.84,111.92K,0.43%
06/14/2023,6434.06,6505.34,6526.36,6423.69,207.09K,-1.12%
06/13/2023,6507.26,6492.06,6525.42,6471.53,130.25K,0.00%
06/12/2023,6507.15,6541.04,6553.23,6501.93,80.10K,0.00%
06/09/2023,6507.15,6541.04,6553.23,6501.93,80.10K,-0.49%
06/08/2023,6539.36,6546.47,6551.98,6520.53,65.83K,-0.39%
06/07/2023,6564.70,6490.35,6564.70,6483.87,82.57K,1.31%
06/06/2023,6479.93,6526.21,6539.49,6479.93,95.62K,-0.64%
06/05/2023,6521.64,6525.63,6544.13,6521.06,67.33K,0.15%
06/02/2023,6512.01,6449.97,6512.01,6449.97,149.51K,1.27%
06/01/2023,6430.58,6502.76,6502.76,6430.58,119.94K,-0.72%
05/31/2023,6477.36,6517.07,6522.09,6469.91,981.99K,-0.51%
05/30/2023,6510.67,6574.79,6574.79,6510.67,75.86K,-1.25%
05/29/2023,6593.16,6543.93,6593.16,6532.72,66.97K,0.96%
05/26/2023,6530.20,6570.95,6570.95,6496.47,62.35K,-0.46%
05/25/2023,6560.22,6612.47,6613.85,6560.22,60.52K,-0.84%
05/24/2023,6615.95,6596.30,6615.95,6589.81,60.02K,0.19%
05/23/2023,6603.56,6601.75,6641.76,6592.17,97.31K,-0.26%
05/22/2023,6620.83,6651.19,6651.19,6596.79,83.11K,-0.66%
05/19/2023,6664.55,6635.45,6694.09,6635.45,96.16K,0.54%
05/18/2023,6628.64,6642.53,6658.16,6628.64,81.17K,-0.10%
05/17/2023,6635.11,6595.46,6644.38,6593.66,103.09K,0.70%
05/16/2023,6588.90,6549.34,6596.34,6549.34,65.67K,1.01%
05/15/2023,6523.15,6582.57,6585.72,6523.15,78.69K,-0.84%
05/12/2023,6578.15,6661.60,6668.65,6578.15,150.36K,-1.46%
05/11/2023,6675.46,6669.40,6704.53,6657.51,116.40K,0.25%
05/10/2023,6658.59,6632.83,6660.66,6621.58,100.38K,0.54%
